pays,ville,nom,poste
Spain,Granada,Andalusian Public Foundation El legado andalusí,Director of the Department Innovation
Italy,Firenze,Le Murate. Progetti Arte Contemporanea,comunicatrice
France,Paris,Le Musée de poche, directrice
France,,Le Musée du Fake,Fondateur
Germany,München,Lenbachhaus,Volontariat Kommunikation
Argentina,Malvinas Argentinas,Museo de la Lengua UNGS,asistente de coordinación
Italy,Milano,Pinacoteca Ambrosiana,communication specialist
Italy,Salice Salentino,Museo del Vino Piero e Salvatore Leone de Castris,Ufficio Marketing e Comunicazione
Austria,Vienna,Leopold Museum,Head of Marketing
France,Etretat,Chateau des Aygues,Propriétaire
France,Rennes,Les Champs Libres,Animatrice des réseaux sociaux et de la plateforme de blogs
France,Pont-l'Evêque,Espace culturel les Dominicaines,Médiatrice culturelle
France,Strasbourg,Le Vaisseau,Assistante de communication
United States,Charlotte,Levine Museum of the New South,Marketing & Communications Associate
United States,Richmond,Library of Virginia,Prints and Photographs Collection Specialist
Italy,Roma,The American University of Rome,Special Projects Coordinator
United Kingdom,Fraserburgh,Museum of Scottish Lighthouses,Collections Manager
South Africa,Johannesburg,Liliesleaf Trust,CEO
Germany,Stuttgart,Linden-Museum Stuttgart,Head of P.R. departmente
United States,Walnut Creek,Lindsay Wildlife,Marketing and Development Project Manager
Japan,Tokyo,Museum of Contemporary Art Tokyo,Curatorial Assistant 
United States,Harrisonburg,Lisanby Museum,Graduate Student
Ukraine,Odessa,Odessa Literary Museum,Научный сотрудник музея
Spain,Girona,Institut Català de Recerca en el Patrimoni Cultural,Director
Sweden,Stockholm ,The Royal Armoury,Communication Officer
United Kingdom,Llandudno,Llandudno Museum ,Museum Development Officer 
United Kingdom,Preston Lancashire,Lancashire Museums,Information Development Officer
Latvia,Riga,Arsenals Exhibition Hall,Digital communication
Latvia,Riga,Latvian National Museum of Art,Communication Specialist
United Kingdom,London,London Fire Brigade,Communications Officer
United Kingdom,Leiston,Long Shop Museum,Marketing Assistant
United Kingdom,London,LooktoLearn,Director
United Arab Emirates,Abu Dhabi ,Louvre Abu Dhabi,Communications Officer 
United Kingdom,Plymouth,Plymouth History Centre (working title),Communications Office
Japan,Tokyo,Kokuritu Shin Bijyutsukan,なし
United States,Lowell,Lowell National Historical Park,Park Ranger
United Kingdom,Hoddesdon,Lowewood Museum,Audience Development Officer
United Kingdom,London,Lloyd's Register Archive,Archive Assistant
United Kingdom,York,Laurence Sterne Trust at Shandy Hall,Collections Officer
United Kingdom,Lavenham,"Little Hall, Lavenham",Volunteer tweeter
United Kingdom,London,London Transport Museum Battle Bus,Project Curator - Battle Bus
United Kingdom,London,London Transport Museum,Web and Social Media Manager
United Kingdom,London,London Transport Museum Shop,Ecommerce Assistant
United Kingdom,London,London Transport Museum - Young People's Proamme,Learninhg Officer: Young People's Skills Programme
Germany,Oberhausen,LUDWIGGALERIE Schloss Oberhausen,Volontärin 
Russia,Moscow,The Lumiere Brothers Center for Photography,SMM менеджер
Spain,Valencia,Luminaria Educación Patrimonial,Socia
Brasil,São Paulo,Museu Histórico da Portuguesa ,Diretor de Comunicação e Museu Histórico
Spain,Granada,Gil de Avalle Guitar Workshop,Guitarrero-Luthier
United States,Las Vegas,Las Vegas Natural History Museum,Communications and Development Officer
Germany,Bonn,LVR-LandesMuseum Bonn,Presse- und Öffentlichkeitsarbeit
Australia,Perth,Lawrence Wilson Art Gallery,Digital Engagement
Canada,Niagara-on-the-Lake,The Lincoln and Welland Regiment Museum,Museum Manager 
United Kingdom,King's Lynn,Lynn Museum part of Norfolk Museum Service,Learning Officer
Mexico,León,Museo de Arte e Historia de Guanajuato,Jefe de Exposiciones Temporales
Italy,Voghiera,Museo civico di Belriguardo,operatore museale
Germany,München,Museum Brandhorst,Online Editor
Mexico,Ciudad de México,"Galería de Historia, Museo del Caracol",Jefe de Investigación y Difusión
Spain,Madrid,Museo del Ferrocarril de Madrid,Jefe de Difusión y Educación
Belgium,Antwerp,M HKA,Mediation
Mexico,Mexico,Museo Mexicano de la Danza,Dcoumentación
Belgium,Leuven,M - Museum Leuven,Communications officer
Brasil,São Paulo,Memorial da Resistência de São Paulo,Coordenadora
France,Meaux,Musée de la Grande Guerre du Pays de Meaux,Chargé de mision Web et Multimédia
Italy,Venezia,M9 Museum,Social media manager
United Kingdom,Cambridge,Museum of Archaeology and Anthropology,Head Attendant
Germany,Koeln,migration-audio-archiv.de,"Leitung, Vorstand"
Australia,Sydney,Museum of Applied Arts and Sciences,Communications Coordinator
United States,Rotterdam Junction,Mabee Farm Historic Site,Educator/Assistant Curator
Spain,Alicante,"MACA, Museo de Arte Contemporáneo de Alicante",RESPONSABLE DE COMUNICACIÓN
Canada,Moncton,Musée acadien de l'Université de Moncton,Conservatrice
Spain,Barcelona,MACBA: Museu d'Art Contemporani de Barcelona,Community Manager
United Kingdom,Macclesfield,Macclesfield Museums,Director
Canada,Toronto,Mackenzie House Museum,Program Officer
Canada,Barrie,MacLaren Art Centre,Corporate and Community Relations Associate
France,Lyon,Musée d'art contemporain de Lyon,Webmaster/CM
Colombia,Bogotá,Museo de arte contemporáneo  de Bogotá MAC,director
Canada,Montréal,Musée d'art contemporain de Montréal,Responsable de la diffusion numérique
Italy,Roma,MACRO - Museo d'Arte Contemporanea Roma,Social Media
Argentina,Salta,Museo de Arte Contemporáneo de Salta,Directora
Chile,Valdivia,MAC Valdivia UACh,Encargada de comunicaciones
Israel,Jerusalem,The Bloomfield Science Museum Jerusalem,Director of Development
France,Bordeaux,Musée des Arts décoratifs et du Design,Responsable communication & partenariats
United States,New York City,Museum of Arts and Design,PR Manager
Italy,Firenze,Museo Archeologico Nazionale di Firenze,assistente alla vigilanza
United Kingdom,Middle Wallop,Museum of Army Flying,Marketing Officer
Sweden,Stockholm,Magasin III Museum & Foundation for Contemporary Art,Communications Manager
Italy,Parma,Fondazione Magnani Rocca,social media manager
France,Dijon,Musée Magnin,Chargée de Communication
Switzerland,Genève,Musée d'art et d'histoire de Genève,Community Manager
United Kingdom,Maidstone,Maidstone Museum,Assitant Marketing & Communications Officer
France,Sablé-sur-Sarthe,Maine Sciences,Chargée de projets
United States,Bath,Maine Maritime Museum,marketing and communications manager
France,Saint-Ouen,Mains d'Oeuvres ,Assistante communication
France,Tarbes,mairie de Tarbes,community manager
Lithuania,Kaunas,Maironis Lithuanian Literature Museum,Curator
France,Fajoles,Maison du Piage,Adjoint du patrimoine
France,Bohain-en-Vermandois,La Maison familiale d'Henri Matisse,Directrice
Austria,Vienna,MAK - Austrian Museum of Applied Arts / Contemporary Art,Marketingassistent
France,Paris,Musée d'Art moderne de la Ville de Paris,chargée de communication multimédia
Italy,Bologna,MAMbo - Museo d'Arte Moderna di Bologna,"Addetta comunicazione web, social media, ufficio stampa"
France,Céret,Musée d'Art Moderne de Céret,Médiatrice culturelle et Commuty Manager
Chile,Castro,MAM Chiloé,Community Manager
Switzerland,Genève,Mamco,Communication
United States,Montclair,Montclair Art Museum,Marketing and Communications Manager
Brasil,São Paulo ,MAM - Museu de Arte Moderna de São Paulo,Analista de Marketing
France,Granville,Musée d'art moderne Richard Anacréon,Chargée de communication
Spain,Tarragona,Museu d'Art Modern de la Diputació de Tarragona,Técnico 
Italy,Nuoro,Man Museo d'Arte provincia di Nuoro,Direttore del Museo
Spain,Madrid,National Archaeological Museum,Responsable de Prensa
United Kingdom,Leeds,M&S Company Archive,Archive Assistant
Italy,Napoli,Museo Archeologico Nazionale di Napoli,funzionario
United Kingdom,Mansfield,Mansfield Museum,Museum Development Officer
Italy,Torino,MAO Museo d'Arte Orientale di Torino,Social media manager
Mexico,Ciudad de México,Museo de Arte Popular,Auxiliar de Comunicación Social
Brasil,Niterói,Espaço do Conhecimento UFMG,Coordenadora Administrativa e Assistente de Diretoria
Spain,Madrid,FUNDACION MAPFRE ,Directora de Proyectos. Web y Redes. Área de Cultura. Fundacion MAPFRE
Italy,Castiglione Olona,[MAP] Museo Arte Plastica,Operatore Museale
Colombia,Barranquilla,Museo Mapuka,Comunicaciones
Brasil,Rio de Janeiro,Maracanã,Responsável Digital e Relacionamento
France,Paris,Marais Culture +,CM tu compte twitter Marais Culture +
Spain,Cacabelos,Museo Arqueológico de Cacabelos,Directora
France,Grenoble,Musée archéologique Grenoble,Conservateur en chef du patrimoine honoraire
Spain,Vigo,MARCO,Resp. Comunicación
France,Etaples-sur-mer,"Maréis, centre de découverte de la pêche en mer",Chargé de développement 
Mexico,Ciudad de México ,MIDE,Coordinadora de Actividades Culturales
United States,Triangle,National Museum of the Marine Corps,Volunteer - PR
United States,Newport News,The Mariners' Museum & Park,Marketing Manager
Canada,Victoria,The Maritime Museum of BC,Operations Manager
Germany,Hamburg,Internationales Maritimes Museum Hamburg,Social Media Manager
Spain,Bilbao,Museo Marítimo Ría de Bilbao,Community Manager
Canada,Toronto,The Market Gallery,Acting Gallery Clerk
United States,Elmira,Chemung County Historical Society,Education Coordinator
Argentina,Mar del Plata,Museo de Arte Contemporáneo de la Provincia de Buenos Aires (MAR),Responsable de Prensa y Comunicación
Spain,Alicante,MARQ Museo arqueológico de Alicante,Asesora Marketing Online
Denmark,Marstal,Marstal Maritime Museum,Museum Employee
Italy,Rovereto,"Mart, museo di arte moderna e contemporanea di Trento e Rovereto",collaboratrice ufficio stampa e new media
Germany,Herford,Marta Herford,Social Media Manager
Italy,Pessione,Martini & Rossi SpA,VISITOR CENTER MANAGER
United States,Goldendale,Maryhill Museum of Art,Media & Public Relations Officer
United Kingdom,Portsmouth,The Mary Rose Museum,Digital Marketing Coordinator
Belgium,Antwerp,MAS | Museum aan de Stroom,Digital communication 
Italy,Massaciuccoli,AREA ARCHEOLOGICA MASSACIUCCOLI ROMANA,Direttore scientifico
Spain,Madrid,Matadero Madrid,Responsable de comunicación
United States,Bloomington,Mathers Museum and World Cultures,"Assistant Director, Mathers Museum of World Cultures"
Japan,Tokyo,Matsuoka Museum of Art,館長
Netherlands,Den Haag,Mauritshuis,Online Communication
Chile,Santiago de Chile,Mavi,Coordinadora de educación 
Italy,Fenis,MAV - Museo dell'Artigianato Valdostano di Tradizione,Collaboratrice
Switzerland,Chiasso,m.a.x. museo,"Responsabile comunicazione, PR, coordinamento"
France,Bordeaux,Musée des Beaux Arts de Bordeaux,Médiatrice culturelle
France,Lyon,Musée des Beaux-Arts de Lyon,Responsable du service communication
France,Mont-Saint-Hilaire,Musée des beaux-arts de Mont-Saint-Hilaire,Responsable du service éducatif
Canada,Montréal,Musée des beaux-arts de Montréal,Gestionnaire de communauté
France,Quimper,Musée des beaux-arts de Quimper,Médiatrice culturelle
Canada,Sherbrooke,Musée des beaux-arts de Sherbrooke,Conservatrice
Mexico,Ciudad de México,Museo del Palacio de Bellas Artes,Coordinadora de estrategia digital
United Kingdom,London,MB Fountain,Director
Spain,Ibi,MUSEO DE LA BIODIVERSIDAD,Técnico de exposiciones temporales e itinerantes.
Spain,A Coruña,Museos Científicos Coruñeses,Técnico en Divulgación Científica
Canada,Kleinburg,Mc,"Manager, Online Presence"
United States,Chicago,Museum of Contemporary Art Chicago,Chief Content Officer
United States,Denver,Museum of Contemporary Art Denver,Visitor Services Manager
Philippines,Manila,Museum of Contemporary Art and Design,Museum and Curatorial Coordinator
United States,Santa Barbara,Museum of Contemporary Art Santa Barbara,Marketing Manager
United States,San Diego,Museum of Contemporary Art San Diego,Communications Associate
Brasil,São Paulo,Museu da Casa Brasileira,Gerente de Comunicação
Canada,Winnipeg,Musée canadien pour les droits de la personne,Digital Content Specialist
United States,Beaumont,McFaddin-Ward House,Public Relations Coordinator
Spain,Valladolid,Museo de la Ciencia de Valladolid,Departamento de Comunicación
United Kingdom,Dundee ,The McManus: Dundee's Art Gallery and Museum,Marketing and Digital Communications Officer
Spain,Madrid,Museos Complutenses,Becaria
Canada,Québec,Musée de la civilisation,Chargée de projets numériques
United Kingdom,Manchester,Manchester Museum,Marketing Officer
Canada,Montréal,Musée du costume et du textile du Québec,Responsable des communications
Spain,Barcelona,Museu de Cultures del Món,Community Manager
Spain,Tàrrega,Museu Comarcal de l'Urgell-Tàrrega,técnica museo
France,Lyon,musee des Confluences,Chargé de projet web
France,Châtenois,La Maison du Distillateur,coordinatrice projet web
Russia,Moscow,"Multimedia Art Museum, Moscow",SMM-менеджер
Spain,Salas de los Infantes,Museo de Dinosaurios de Salas de los Infantes,Técnico
United Kingdom,Winchester,South East Museum Development Programme,"Museum Development Officer, Hampshire Solent"
Germany,Berlin,me Collectors Room Berlin / Stiftung Olbricht,Karen Speier
United States,Amherst,Mead Art Museum,Administrative Assistant to the Director
United States,Dallas,The Meadows Museum,Account Manager
Canada,Meaford,Meaford Museum,Museum Services Coordinator
France,Rouen,Muséum de Rouen,Chargé de Mission Mécénat
United Kingdom,Bradford,National Media Museum,Communications Manager
France,Sète,Musée Internation des Arts Modestes,chargée de médiation
Denmark,Copenhagen,Medical Museion,Senior curator
United States,Anniston,Anniston Museum of Natural History,Collections Assistant
Argentina,Trelew,Museo Paleontológico Egidio Feruglio,Outreach Coordinator
Italy,Ferrara,Museo Nazionale dell'Ebraismo Italyno e della Shoah,Curator
Australia,Melbourne,Melbourne Museum,"Brand Manager, Family Audiences"
France,Paris,Mémoires du Patrimoine,Présidente
France,Aubervilliers,Cité des mémoires étudiantes,Chargé de valorisation
Brasil,São Paulo,Centro de Memória do Bixiga,Acervo
Italy,Caprera,Memoriale Giusepep Garibaldi,OPERATORE AMMINISTRATIVO GESTIONALE
France,Paris,Maison Européenne de la Photographie,Chargée de communication
United Kingdom,Harrogate,The Mercer Art Gallery,Audience Development Officer
United Kingdom,Reading,Museum of English Rural Life,Marketing Officer
