pays,ville,nom,poste
Canada,Montréal,Musée Dufresne-Nincheri,Responsable des programmes éducatifs et culturels
France,Lémeré,Château du Rivau,Proprietaire
France,Langeais,Château de Langeais,Assistante Communication
France,Nantes,Musée d'histoire de Nantes - Château des ducs de Bretagne,Chargée de projets
France,Oiron,"Château d'Oiron, centre des monuments nationaux ","Chargé des collections et de la communication, CM"
France,Pau,Musée national et domaine du château de Pau,Chargé du Pôle Tourisme
France,Maincy,Château de Vaux-le-Vicomte,Chargée de communication
United States,Madison,Chazen Museum of Art,Communications Specialist
United States,Nashville,Cheekwood Botanical Garden & Museum of Art,"VP, Marketing"
United Kingdom,Chepstow,Chepstow Museum,Curator
France,Toulouse,Chercheurs d'Autres,Coordinateur
United Kingdom,Chertsey ,Chertsey Museum ,Curator
United Kingdom,Manchester,Chetham's Library,Library administrator
United States,Chicago,Chicago History Museum,Membership Marketing Manager
United Kingdom,Chalfont St Giles,Chiltern Open Air Musuem,Marketing Officer
United States,New York City,China Institute Gallery,Gallery Manager
United States,Marfa,The Chinati Foundation,Development Intern
Italy,Roma,CHIOSTRO DEL BRAMANTE,Social Media Manager
Canada,Montréal,Centre d'histoire de Montréal,Assistant aux événements culturels
Mexico,Ciudad de México ,MUCHO-Museo del Chocolate,Directora
France,Lyon,Centre d'Histoire de la Résistance et de la Déportation ,Chargée de communication
Canada,Chilliwack,Chilliwack Museum and Archives,Archivist
Australia,Kelvin Grove,QUT Creative Industries Precinct,Curator Digital Media 
France,Beaumont-du-lac,Cente international d'art et du paysage,Chargée de communication
Spain,Santiago de Compostela ,Cidade da Cultura de Galicia,Community Manager
United States,Cincinnati,Cincinnati Museum Center,Social Media Coordinator 
Belarus,Minsk,Museum of the Belarusian Cinema History,researcher
France,Paris,La Cinémathèque française,Responsable du Site Internet
Canada,Montréal,La Cinémathèque québécoise,Chef des communications
Belgium,Bruxelles,Cinquantenaire Museum,Communication
France,Crozant,Centre d'Interprétation du Patrimoine de la Vallée de la Creuse - Hôtel Lépinat,Directeur
France,Béziers,Lo CIRDÒC-Mediatèca occitana,Responsable du département audiovisuel et des contenus éducatifs
France,Besançon,Citadelle de Besançon,Assistante Marketing
France,Saint-Tropez,La Citadelle de Saint-Tropez - Musée d'histoire maritime,Directeur de la Culture
France,Cherbourg,La Cité de la Mer,Chargée de communication
Canada,Montréal,Cité historia,Responsable des communications
France,Loches,Cité Royale de Loches,Webmaster et régie des collections
France,Aubusson,Cité internationale de la tapisserie,Chargée de communication / webmaster
France,Longueil-Annel,La Cité des Bateliers,Directeur
France,Paris,Cité de l'architecture et du patrimoine,Chargée de communication digitale
France,Paris,Cité de l'Économie et de la Monnaie ,Chargé communication et partenariats
